key,reference,identification-date,impact,probability,description,link
risk-01,R-000,2020/12/11 23:00,23.07,73.29,Descripcion estandar,https://www.example.com
risk-02,R-002,2000/01/01 00:00,23.07,73.29,Descripcion estandar,https://www.example.com
risk-03,R-003,2000/01/01 00:01,23.07,73.29,Descripcion estandar,https://www.example.com
risk-04,R-004,2022/07/30 00:00,23.07,73.29,Descripcion estandar,https://www.example.com
risk-05,R-005,2022/07/29 23:59,23.07,73.29,Descripcion estandar,https://www.example.com
risk-06,R-006,2020/02/29 23:00,23.07,73.29,Descripcion estandar,https://www.example.com
risk-07,R-007,2020/12/11 23:00,0.00,73.29,Descripcion estandar,https://www.example.com
risk-08,R-008,2020/12/11 23:00,0.01,73.29,Descripcion estandar,https://www.example.com
risk-09,R-009,2020/12/11 23:00,100.0,73.29,Descripcion estandar,https://www.example.com
risk-10,R-010,2020/12/11 23:00,99.99,73.29,Descripcion estandar,https://www.example.com
risk-11,R-011,2020/12/11 23:00,23.07,0.00,Descripcion estandar,https://www.example.com
risk-12,R-012,2020/12/11 23:00,23.07,0.01,Descripcion estandar,https://www.example.com
risk-13,R-013,2020/12/11 23:00,23.07,100.0,Descripcion estandar,https://www.example.com
risk-14,R-014,2020/12/11 23:00,23.07,99.99,Descripcion estandar,https://www.example.com
risk-15,R-015,2020/12/11 23:00,23.07,73.29,D,https://www.example.com
risk-16,R-016,2020/12/11 23:00,23.07,73.29,De,https://www.example.com
risk-17,R-017,2020/12/11 23:00,23.07,73.29,Descripcion estandarDescripcion estandarDescripcion estandarDescripcion estandarDescripcion estandar,https://www.example.com
risk-18,R-018,2020/12/11 23:00,23.07,73.29,Descripcion estandarDescripcion estandarDescripcion estandarDescripcion estandarDescripcion estanda,https://www.example.com
risk-19,R-019,2020/12/11 23:00,23.07,73.29,伊尺诶娜迪艾艾,https://www.example.com
risk-20,R-020,2020/12/11 23:00,23.07,73.29,լոռեմ իպսումლორემ იფსუმ,https://www.example.com
risk-21,R-021,2020/12/11 23:00,23.07,73.29,<h1>HTML code</h1>,https://www.example.com
risk-22,R-022,2020/12/11 23:00,23.07,73.29,"1 = 1",https://www.example.com
risk-23,R-023,2020/12/11 23:00,23.07,73.29,SELECT r FROM Risk,https://www.example.com
risk-24,R-024,2020/12/11 23:00,23.07,73.29,Descripcion estandar,https://www.abcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmn.com
risk-25,R-025,2020/12/11 23:00,23.07,73.29,Descripcion estandar,https://www.abcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklmopqrstuvwxyzabcdefghijklm.com
risk-26,R-026,2020/12/11 23:00,23.07,73.29,Descripcion estandar,null
risk-27,R-027,2020/12/11 23:00,23.07,73.29,Descripcion estandar,http://www.example.com
risk-28,R-028,2020/12/11 23:00,23.07,73.29,Descripcion estandar,ftp://www.example.com
risk-29,R-029,2020/12/11 23:00,23.07,73.29,Descripcion estandar,https://www.伊尺诶娜迪艾艾.com
risk-30,R-030,2020/12/11 23:00,23.07,73.29,Descripcion estandar,https://www.լոռեմիպսումლორემიფსუმ.com
