key,title,description,estimated-cost,acceptance-criteria,priority,link,draft-mode,key:manager
user-story-01,Lorem ipsum,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-02,L,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-03,Lo,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-04,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoren,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-05,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLore,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-06,æ¨£æœ¬æ¨™é¡Œ,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-07,貸んい建濯よ芝弾テソ,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-08,<p>This text is in HTML</p>,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-09,<script>alert('Hi')</script>,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-10,'' or 'A'='A',Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-11,SELECT ua FROM UserAccount ua,Lorem ipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-12,Lorem ipsum,L,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-13,Lorem ipsum,Lo,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-14,Lorem ipsum,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsum,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-15,Lorem ipsum,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsu,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-16,Lorem ipsum,æ¨£æœ¬æ¨™é¡Œ,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-17,Lorem ipsum,貸んい建濯よ芝弾テソ,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-18,Lorem ipsum,<p>This text is in HTML</p>,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-19,Lorem ipsum,<script>alert('Hi')</script>,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-20,Lorem ipsum,'' or 'A'='A',10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-21,Lorem ipsum,SELECT c FROM Contract OR 1=1,10,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-22,Lorem ipsum,Lorem ipsum,0,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-22.1,Lorem ipsum,Lorem ipsum,1,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-22.2,Lorem ipsum,Lorem ipsum,2147483647,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-22.3,Lorem ipsum,Lorem ipsum,2147483646,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-23,Lorem ipsum,Lorem ipsum,100,Lorem ipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-24,Lorem ipsum,Lorem ipsum,10,L,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-25,Lorem ipsum,Lorem ipsum,10,Lo,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-26,Lorem ipsum,Lorem ipsum,10,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsum,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-27,Lorem ipsum,Lorem ipsum,10,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsu,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-01
user-story-28,Lorem ipsum,Lorem ipsum,10,æ¨£æœ¬æ¨™é¡Œ,MUST,https://es.wikipedia.org/wiki/Curso,true,manager-02
